"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0,44158.6836712785,44163.8499009683,0,21603.3413334189,10411.4438288386,0,15193.0898980753,0,707.317234205305,0
"2",26149.2159722467,0,30055.3255234497,2209.17844260437,0,2141.94731789734,17372.0393157847,3471.57323035075,7265.54278620941,1841.12035793086,0
"3",59417.1841319044,36852.4845032828,0,0,0,0,17.5175605702379,0,0,5296.71790082929,0
"4",13196.7911669637,386.624949930258,3087.71152519359,0,0,419.79630398175,7374.53102616359,878.570682839387,0,3909.09889690003,0
"5",12908.0431666718,1418.7683621203,0,1224.95719901806,0,6603.01596489381,0,4820.13545972214,0,0,0
"6",3616.18736788358,0,6418.72836974564,9899.58412441478,0,0,0,0,4609.43737330567,2250.2892226023,0
"7",0,4388.83653711392,6720.72985773833,2443.87380929566,0,0,0,7576.40698010422,9903.76158561383,1141.83427361844,0
"8",20976.9921806849,0,0,0,9.52378489750004,2978.34668227589,0,0,6779.06384846236,932.208601542207,0
"9",0,0,9475.37429688656,5101.90643675594,0,4115.93033317012,1725.80038955958,0,0,8017.21980090382,0
"10",0,4037.97630533758,671.917445713992,8281.96964721391,5588.49762286222,0,5446.67890547582,0,0,0,0
"11",0,0,645.409609239317,0,0,0,0,0,0,0,0
