"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,22595.7834026493,7250.24188599502,14018.860620942,17072.1077625102,384.810457840989,530.081089505802,233.895541302632,0,0,1061.50664056833,0,3615.16317602626,0,0,4996.08944324175,960.162533535454,5227.85636271646,1999.21880407687,1433.49155690923,0
"2",14973.4990395338,0,13232.4486123806,14240.7541090837,28013.6465186074,8.28011247953278,5467.18950874833,1120.19128900288,2224.48139054847,1236.03456512428,0,0,4097.96457387095,2016.97570880463,208.747744250522,4377.77774673536,952.528282908315,548.393406948527,0,414.819449386513,0
"3",30507.5600678407,15666.5882242762,0,1584.53329294084,0,1632.20323435598,0,1575.47777343134,0,0,3140.08435950678,0,640.729554279491,0,1913.0762152548,0,0,1382.94870223978,407.511160040846,0,0
"4",0,15704.7199540927,18488.033608269,0,0,758.182850905987,1764.4985067624,0,82.5338105166676,1358.1662152094,0,0,777.982799785193,0,960.413896411078,1001.92104517825,3591.70951426989,3362.9989806995,0,2813.22713093491,0
"5",11313.0191585203,15833.3210506387,4806.89566844029,5093.0811822275,0,7583.07561069816,0,0,10555.8245409848,210.851850063152,124.839703022276,2071.35507656871,852.089302623575,585.337728026502,753.217226257488,0,272.96843731384,0,0,0,0
"6",1913.78334536592,0,0,3844.74260854054,0,0,1365.32568386553,233.694118686122,1561.11910780766,630.34939276962,0,547.837583885115,1479.28425838947,0,1924.98085836702,4505.5587277264,0,92.7447657871354,0,770.448031731248,0
"7",691.199660957048,5806.7710620355,0,0,127.663904052761,0,0,0,0,0,0,0,218.098650991879,0,0,0,518.960336026487,4479.05266408318,298.494226837473,0,0
"8",297.198310747673,2332.98544928923,167.540671234845,0,662.375620927508,1284.00917639603,850.397940418814,0,0,47.1346347079592,0,0,0,0,0,0,0,0,0,434.257899283694,0
"9",0,1873.27151630272,5273.41255458142,1986.3704752034,0,2521.43048807799,46.4199892354902,0,0,539.472974012834,0,0,0,1833.66447747958,496.422663853337,801.385898246844,0,0,1973.37165780281,37.0001098400094,0
"10",0,0,0,2286.99804154217,524.16197389971,2110.34008760896,0,0,0,0,0,2160.9621574341,0,0,0,0,1894.82039921031,0,0,0,0
"11",579.449603483505,0,0,0,0,1223.17228447105,713.162699526151,0,0,0,0,0,0,0,1855.86070788801,0,0,0,0,751.704750623862,0
"12",661.70284494057,0,143.833330392469,0,3466.80996531116,0,0,76.5532274755885,592.079164887365,0,0,0,0,0,0,365.953619838158,0,0,0,0,0
"13",688.657639593297,0,37.924910178968,2294.83603156653,6376.69371561802,0,1255.88075675249,0,0,0,0,0,0,199.978768058563,0,0,0,1584.55598873092,0,1448.88734867397,0
"14",2322.65556297905,695.858619624564,680.793797196648,887.667331748198,384.812094279488,0,0,0,0,0,732.481810680165,0,1667.24720740246,0,0,0,272.760970346755,0,343.03958253269,158.479218797265,0
"15",2233.95250414001,824.602661560903,3579.96726442079,0,762.61031979876,152.887993921225,0,0,0,0,0,0,543.277523831094,0,0,0,0,0,1531.37355177213,704.221717172807,0
"16",9032.68974137431,3917.87284959471,633.029777495819,0,0,0,114.95363242123,0,1195.44578102322,983.110744818794,0,0,0,0,0,0,0,0,0,0,0
"17",2689.50279888797,0,0,0,0,0,0,0,0,1926.47653045838,0,0,0,0,0,0,0,1543.58676366994,1188.41551997491,1774.35883094547,0
"18",3700.74144955364,9766.33968469615,0,740.09507222213,1706.68880965695,0,0,0,210.508805006615,180.843427225198,0,0,134.818523869062,1099.51680077513,0,0,509.857651708433,0,0,0,0
"19",0,0,0,753.790479264811,0,1347.94556780145,0,2753.83670115735,0,1227.60361037054,0,469.415542286474,0,0,995.509021620748,0,0,0,0,0,0
"20",0,0,2941.70325129921,2673.8087383137,0,0,0,0,1099.41614431241,687.202478305117,0,0,0,2159.87976473278,1018.58354205893,56.6006383134484,0,0,0,0,0
"21",45.8663093217497,1086.40222887497,0,204.660199390089,863.285305983107,0,0,0,0,0,0,0,0,0,0,0,135.841211272871,0,0,0,0
