"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",0,245.948357766658,1126.72545884613,497.854243519736,0,0,2175.80836308347,0,742.662856427276,0,0,1904.57099778024,0,1027.32209464912,350.647071704545,0,0,294.127067164125,1727.30127805403,0,875.245333895175
"2",0,0,1278.99446342219,0,1136.54000895486,0,0,211.651151952623,0,0,0,0,0,2778.64975297359,0,0,34.6492491064839,0,0,2434.9565226565,2217.76542698979
"3",575.591764925552,1934.00805564138,0,0,374.139590381632,0,614.430284336866,0,0,0,2481.27120146885,0,0,0,0,139.452091834358,2051.38654153746,1281.35024463057,0,1139.15006930642,0
"4",0,0,0,0,0,1562.10418919269,0,0,2923.29919322729,0,0,0,910.475088278234,0,0,878.319675915532,0,0,0,0,0
"5",0,0,1791.5314388642,0,0,1520.51673839333,0,0,0,2066.52284747738,0,0,0,0,1015.57815842664,0,0,1016.62528418655,741.991835763121,2443.53305982622,709.990602612582
"6",0,0,461.413864735649,0,0,0,1052.20751887116,668.53181288002,0,0,425.688002673818,1300.65754691067,2557.9587893966,1472.30504914639,0,0,2698.88417045714,305.821530505934,0,0,0
"7",617.999399206693,572.309129165525,0,0,201.752977289112,1447.61474267906,0,705.520899851362,0,1677.01516567705,0,55.1681689464812,91.7224405806461,0,0,846.743863362655,39.170494173467,0,1823.13602404735,1917.34238325852,568.027094935088
"8",0,0,0,0,0,167.22103201001,129.629778554495,0,1817.54228747557,1022.99548327553,0,199.371670410176,3461.62240791097,0,1568.63310781214,0,0,0,289.647127033326,0,950.39613171521
"9",45.386492974234,253.012190176486,1287.46334315081,777.384061478017,0,0,0,0,0,0,0,0,0,921.340655245948,0,1597.55386842966,0,2265.32427496288,0,0,827.850256611177
"10",0,1466.23469217148,0,2663.54554201175,0,294.632423776392,256.915441395249,1484.15217086021,0,0,0,385.959688178482,0,1416.58577353249,2137.5177183019,0,0,0,1259.91454159262,0,0
"11",3467.90722721514,1214.46903378516,170.926952241553,0,0,1517.75382316157,3244.31370530984,1573.83853973864,85.4191222449779,116.330468358275,0,10.7099257208512,731.808386071126,0,0,0,0,2037.89108706245,0,0,0
"12",802.654853681908,0,0,417.082484835613,0,629.398266442601,0,0,3744.66598384467,2714.06906317846,414.894123950907,0,0,0,1389.50160886383,0,0,0,0,0,0
"13",450.111026952433,110.003623782223,0,0,0,0,0,2076.75315264776,0,0,0,0,0,270.425880090382,0,728.677532161012,0,1564.45131783994,2522.04977119009,0,4086.83566115384
"14",0,374.975901241855,487.901465810353,1072.94655118862,180.370722273206,68.8337439155482,301.442162681975,0,0,0,245.653403106669,800.68139117553,0,0,912.954326915856,529.335127533497,1413.8672891369,0,0,1570.15847371019,4004.14445821863
"15",2513.13650943465,0,1319.15504883443,0,0,0,0,1530.74562249742,0,0,0,1466.43003442214,0,1014.63243144388,0,0,1586.89577706835,0,0,0,747.439801200792
"16",1260.77442209373,3447.61661090512,0,0,0,23.3174342403303,0,0,0,0,2005.05658177702,525.441736306521,0,176.928378547226,0,0,396.563364026137,1096.50233634712,0,0,0
"17",0,0,0,1156.18321807433,0,816.828145085655,1820.48674752097,0,0,1547.86101984351,298.2661615659,2414.98451613947,429.667396639637,0,0,120.587499492085,0,0,0,0,217.028635355932
"18",0,0,0,2494.50551496188,4086.69465408095,0,0,1239.68376054858,0,0,0,0,0,0,0,372.392729127687,149.978117075117,0,0,0,0
"19",0,0,1458.61157377866,0,800.391813402538,0,0,0,0,0,3104.52246524208,493.117533130922,0,0,0,1604.96523092241,897.630834490303,0,0,0,1020.77141920907
"20",0,0,0,0,2491.34308283756,1772.82626424958,0,0,0,0,824.099892408559,0,1653.83289207904,0,1854.518443057,3151.87853321428,0,0,667.374638711382,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
