"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"1",0,1081.0013253677,169.761892988314,0,1805.75639882095,0,0,1038.86753562352,0,59.2678322794119,339.955163445575,0,15.2546347921722,0,0,0,0,0,0,504.580664957737,0,0,135.818402361747,0,0,0,588.933674645526,3673.66532935503,0,2705.82173752237,0
"2",1094.38488729973,0,0,318.922865871292,192.313454959593,134.36307527218,1881.47563154421,0,0,0,0,0,0,1098.46135267671,466.296161723918,0,836.173524817715,0,661.175220126947,178.812505389664,0,0,1398.3442241691,0,0,761.386889068796,0,0,0,0,808.212814146111
"3",735.972745512203,674.560170861488,0,0,0,0,0,1824.54562508721,0,901.398407688845,2098.66695108648,0,416.785886927083,0,709.952194919689,657.992216629957,0,0,440.836915567318,84.6030922735166,0,0,933.764371218808,0,0,0,322.083313755479,1299.93838705473,0,0,0
"4",224.90637730258,0,0,0,0,0,0,0,0,0,236.319920383807,2897.35966398444,1762.59042927098,0,1071.75294374312,0,678.277540658425,1127.21017523267,3535.66975954303,0,0,390.532843715059,535.912478931698,0,0,0,1961.24818283325,295.905511701622,0,63.5511732970393,0
"5",0,0,0,0,0,0,0,0,1994.28247094714,0,108.585749401163,146.766345732525,0,1801.49489069226,0,0,546.663221267037,0,30.6666595935283,0,0,0,0,1328.24173209062,208.810854849487,2540.71879325766,0,0,851.020624474128,20.5434773980413,0
"6",0,0,0,1099.9291143983,0,0,0,0,0,340.800320478439,0,0,101.008163461578,0,0,1461.16257300844,567.061110860363,1008.15077945809,216.023655319143,0,0,0,0,648.83581283332,0,0,0,423.648883963188,0,0,5159.92527056627
"7",0,0,1049.93448739312,0,17.3946938823626,609.017182366465,0,0,0,608.713218771126,0,0,767.960072777719,622.559594450474,0,2056.02993886521,0,1762.41864586809,0,0,1860.83149055355,0,0,306.774173903126,0,0,0,0,831.647426419639,0,410.325887949412
"8",555.978355671567,0,188.721660374996,0,2940.06684656645,0,0,0,0,0,0,0,0,275.77870118621,243.828394783145,0,0,572.531518694778,0,1349.2423588602,163.843585755402,0,0,1203.84070943756,0,0,0,0,0,0,2212.78750152436
"9",657.220980010182,832.481785963377,2582.84417327815,1733.8165668876,0,439.711376756887,0,962.936768023887,0,537.623118823361,7.83424185016207,0,0,0,0,0,0,0,0,594.481714868809,0,0,465.312139977466,0,866.162015810641,978.425991602715,0,0,0,0,1777.71464616578
"10",0,0,0,0,0,179.691718087873,1907.88616780437,0,0,0,1777.6937043838,0,0,0,946.355490847026,796.538161442865,0,0,437.795769877592,0,182.636088419888,454.27710595882,0,1962.0719115288,0,1051.41429578799,281.407206188113,1285.75027947811,0,0,0
"11",3435.07993514155,0,0,0,1043.49678909647,394.777670990243,0,0,0,0,0,1065.94019507786,0,328.385620020155,0,1120.03383718764,0,216.938604070735,502.059847453078,296.848049106582,0,0,1204.84111534777,0,0,130.288695545043,0,742.081367976067,799.590785083695,0,0
"12",0,0,0,0,0,470.180075353146,0,0,62.7385788184271,919.667859035949,0,0,0,0,0,460.84733132628,651.638133680789,0,212.097490857411,241.346749659162,3927.43486623482,0,0,0,2158.40284023743,1156.94027096205,0,0,0,81.7681282608019,2125.21702417867
"13",0,0,0,0,0,2296.08516327818,362.655528558055,0,0,190.508781628652,199.938437350325,0,0,0,0,0,0,0,0,0,0,879.128122090341,511.624202522147,0,0,129.815078479187,0,0,67.3859475407935,0,3443.41137234736
"14",183.820742406233,0,103.651656740205,0,0,0,1329.23820303041,0,855.676962609175,732.01127757441,0,276.306185316323,0,0,0,0,847.18578541531,0,0,0,0,466.151833999379,0,0,0,912.349151556041,477.532900091529,0,156.297724921859,0,0
"15",796.002659942781,1183.15967825033,1053.26405885826,0,0,0,774.873346172433,0,0,0,0,0,2715.2096865676,0,0,0,0,804.038288978164,0,0,0,903.058393856398,0,1250.36959839562,0,0,1372.64025451401,0,0,662.676925130006,0
"16",0,901.356473861329,0,0,0,0,113.284527222994,655.387469787966,0,451.853091573641,0,0,0,0,0,0,1208.50391054404,0,0,0,336.179950401865,0,1085.52194200944,0,0,0,1542.09903275283,0,690.211251408087,287.926030513455,2139.27901351787
"17",0,1046.63356127702,0,0,151.305228178481,0,0,0,0,0,0,0,0,0,1773.06170964304,0,0,2357.45657239099,1203.36722047033,0,0,2713.906682142,0,0,0,819.976794338747,0,368.467646995638,0,0,223.147059340791
"18",1547.85287908853,0,0,0,0,452.7774086809,0,0,0,179.598190203068,2777.67754759301,585.586907352139,0,0,0,0,1857.65538572888,0,0,0,0,0,0,80.2240984917178,0,0,0,0,1075.13073613545,0,1275.45334969774
"19",427.308361372504,164.873867449235,0,0,0,1286.19323293787,0,253.233949289253,391.023681271806,20.8694061932244,0,220.895328903177,1275.91393366105,653.626661943474,0,0,0,0,0,1290.83916493424,71.5989307006522,156.906521970919,0,0,0,0,0,0,0,0,2247.67771143252
"20",0,0,858.488610549296,453.252846572217,732.603516484903,0,1054.68077048037,0,415.538754704729,0,0,701.239731811991,0,0,0,0,0,517.925462997502,0,0,280.832974822125,0,0,0,362.840474483393,0,1375.10365339883,0,0,421.891190458364,1003.84578867244
"21",0,0,0,0,1386.44052267747,0,0,2748.78727012832,169.312854141772,862.60328887401,0,0,0,1203.87573438576,0,167.439525463818,43.570589097896,184.352142184988,153.601980402679,169.423831082254,0,0,0,1538.8054844897,634.338192303489,0,1960.7784141816,0,961.569783744625,0,117.438451632821
"22",0,0,0,301.857210114033,0,52.8698205822351,0,625.182528278027,0,0,0,579.928747707308,0,447.398910444722,0,484.315292587163,320.063061765341,0,2186.69625657902,108.739685390227,2549.62130630919,0,0,0,3089.40693533483,0,0,0,98.3345543293728,0,290.596325501008
"23",0,0,0,0,0,1249.18092773464,0,0,0,521.435841584671,957.641372455752,0,0,0,0,0,238.98689708064,0,0,0,314.46900787447,0,0,0,0,0,0,0,0,0,4434.19389504232
"24",0,0,41.4451134605087,2875.35663827771,0,0,0,0,4701.35735672167,0,712.097970159842,68.394456054054,124.394453495001,2010.67977696424,0,801.128602223627,0,706.482004233329,0,713.35016309877,0,0,0,0,0,0,0,0,207.765786578875,343.530525531035,958.655370619669
"25",0,0,0,633.902885335622,0,0,879.352836374233,0,0,1801.23151491548,105.941259750531,0,0,154.879884095514,0,0,444.278454109037,0,0,197.408682936319,0,0,0,390.865327369567,0,0,26.7374041178618,1070.32025200145,0,558.620048463386,418.507268869385
"26",0,357.982549700894,0,292.79272301752,185.713540986057,0,0,1009.48388838257,0,597.844267464337,0,327.688317124803,1969.66245459722,0,699.33039824185,300.46674906388,0,1.97191164249352,0,403.687887234025,226.481060893888,2361.4894058657,2019.20528454579,726.147951000094,0,0,0,0,0,0,2072.78252947881
"27",0,1255.38769813109,0,1870.56440737586,0,0,0,159.581414275425,0,159.057528373525,0,2430.47655405248,0,1082.58178668151,1053.4256221824,701.440916520189,872.876043304663,68.9071646666347,0,1520.05247750577,0,534.483122665375,0,544.326429185759,0,0,0,0,0,0,0
"28",0,0,3639.69873312083,0,0,0,0,0,0,0,0,0,164.79320554113,0,0,0,0,0,0,0,0,0,342.667432833939,0,1685.21589669072,0,0,0,3752.20877820131,0,698.226241466313
"29",0,0,0,0,658.934404276384,0,906.321780496034,0,0,0,0,676.831098042866,0,0,51.3826260721552,0,0,0,0,1387.25819183978,0,264.720346477927,940.128314340069,0,0,0,0,0,0,4851.04533016308,0
"30",0,1771.27617668102,0,92.9279534098773,442.173524892705,1742.33616219426,0,0,710.7677384663,153.393050749483,0,0,0,0,2402.04749456779,0,783.068177721997,0,0,681.619845574971,0,0,0,0,434.680858769165,815.690237374045,0,0,0,0,2629.24862956314
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
