         138206233 function calls (137099009 primitive calls) in 2668.676 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      768 2146.910    2.795 2147.169    2.796 {built-in method cplex._internal.py37_cplex2010.CPXXqpopt}
     1536  108.882    0.071  108.882    0.071 {built-in method _cvxcore.build_matrix}
      768   64.307    0.084   64.307    0.084 {built-in method scipy.sparse._sparsetools.csr_sort_indices}
  5254656   46.067    0.000   46.067    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     1710   31.080    0.018   31.080    0.018 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
     1536   24.570    0.016   24.570    0.016 {built-in method cplex._internal.py37_cplex2010.CPXXaddrows}
     1536   21.007    0.014   21.007    0.014 {built-in method cplex._internal.py37_cplex2010.Pylolmat_to_CHBmat}
      768   20.319    0.026 2280.577    2.970 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\reductions\solvers\qp_solvers\cplex_qpif.py:73(solve_via_data)
     6144   14.909    0.002   14.909    0.002 {built-in method scipy.sparse._sparsetools.get_csr_submatrix}
      768   11.278    0.015 2291.856    2.984 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\reductions\solvers\solving_chain.py:307(solve_via_data)
     5376    9.677    0.002   30.304    0.006 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\lib\arraysetops.py:320(_unique1d)
     1536    9.675    0.006  212.469    0.138 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\cvxcore\python\canonInterface.py:273(get_problem_matrix)
  1695776    8.755    0.000    8.755    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     3072    8.583    0.003    8.583    0.003 {built-in method scipy.sparse._sparsetools.coo_tocsr}
     1536    8.002    0.005    8.002    0.005 {method 'argsort' of 'numpy.ndarray' objects}
      768    7.456    0.010    7.456    0.010 {built-in method cplex._internal.py37_cplex2010.CPXXcopyquad}
     3840    7.245    0.002    7.245    0.002 {method 'sort' of 'numpy.ndarray' objects}
     6144    7.146    0.001    7.146    0.001 {built-in method scipy.sparse._sparsetools.csc_tocsr}
   120044    7.115    0.000    7.115    0.000 {built-in method numpy.array}
    47671    5.689    0.000   14.240    0.000 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:355(calculate_next_distress)
1852286/1841462    5.457    0.000   42.769    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      768    4.401    0.006  216.912    0.282 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\utilities\coeff_extractor.py:58(affine)
 15821837    4.336    0.000    5.766    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\networkx\classes\graph.py:661(nodes)
     6912    3.995    0.001    3.995    0.001 {built-in method _cvxcore.LinOp_set_dense_data}
    19430    3.921    0.000    3.922    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
     1536    3.745    0.002    3.745    0.002 {built-in method _cvxcore.ProblemData_getV}
     3840    3.534    0.001    3.534    0.001 {method 'cumsum' of 'numpy.ndarray' objects}
     1536    3.516    0.002   52.026    0.034 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\cvxcore\python\canonInterface.py:63(reduce_problem_data_tensor)
    10334    3.382    0.000    3.382    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      296    3.095    0.010    3.095    0.010 {built-in method nt.listdir}
     1536    2.651    0.002    2.651    0.002 {built-in method _cvxcore.ProblemData_getJ}
 15551760    2.550    0.000    3.422    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\networkx\classes\reportviews.py:187(__getitem__)
     1536    2.540    0.002    2.540    0.002 {built-in method _cvxcore.ProblemData_getI}
     5376    2.189    0.000    2.189    0.000 {built-in method scipy.sparse._sparsetools.csr_todense}
      768    1.939    0.003   54.052    0.070 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\reductions\qp2quad_form\qp_matrix_stuffing.py:101(__init__)
    47671    1.912    0.000    4.994    0.000 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:335(calculate_next_state)
      768    1.840    0.002    1.840    0.002 {built-in method cplex._internal.py37_cplex2010.CPXXfreeprob}
     1536    1.740    0.001    1.740    0.001 {built-in method _cvxcore.ProblemData_getLen}
     5376    1.595    0.000   31.904    0.006 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\lib\arraysetops.py:138(unique)
      256    1.564    0.006 2593.345   10.130 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\safety_layer.py:16(get_safe_action_cvxpy_delta_direct_basis)
 15821837    1.430    0.000    1.430    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\networkx\classes\reportviews.py:177(__init__)
      351    1.330    0.004   26.223    0.075 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:385(calculate_multilayer_debtrank)
20901112/20900792    1.276    0.000    1.368    0.000 {built-in method builtins.isinstance}
      314    1.240    0.004    1.242    0.004 {built-in method io.open}
